REF_AREA,Reference area,Type of expenditure,Unit of measure,TIME_PERIOD,OBS_VALUE,OBS_STATUS,Observation status
CHE,Switzerland,Expenditure for educational institutions,Percentage of GDP,2011,,O,Missing value
CHE,Switzerland,Expenditure for educational institutions,Percentage of GDP,2013,,O,Missing value
CHE,Switzerland,Expenditure for educational institutions,Percentage of GDP,2014,,O,Missing value
CHE,Switzerland,Expenditure for educational institutions,Percentage of GDP,2015,,O,Missing value
CHE,Switzerland,Expenditure for educational institutions,Percentage of GDP,2016,,O,Missing value
CHE,Switzerland,Expenditure for educational institutions,Percentage of GDP,2017,,O,Missing value
CHE,Switzerland,Expenditure for educational institutions,Percentage of GDP,2018,,O,Missing value
CHE,Switzerland,Expenditure for educational institutions,Percentage of GDP,2019,,O,Missing value
CHE,Switzerland,Expenditure for educational institutions,Percentage of GDP,2020,,O,Missing value
AUT,Austria,Expenditure for educational institutions,Percentage of GDP,1995,,O,Missing value
AUT,Austria,Expenditure for educational institutions,Percentage of GDP,2000,,O,Missing value
AUT,Austria,Expenditure for educational institutions,Percentage of GDP,2005,,O,Missing value
AUT,Austria,Expenditure for educational institutions,Percentage of GDP,2008,,O,Missing value
AUT,Austria,Expenditure for educational institutions,Percentage of GDP,2009,,O,Missing value
AUT,Austria,Expenditure for educational institutions,Percentage of GDP,2010,,O,Missing value
AUT,Austria,Expenditure for educational institutions,Percentage of GDP,2011,,O,Missing value
LUX,Luxembourg,Expenditure for educational institutions,Percentage of GDP,1995,,O,Missing value
LUX,Luxembourg,Expenditure for educational institutions,Percentage of GDP,2000,,O,Missing value
LUX,Luxembourg,Expenditure for educational institutions,Percentage of GDP,2005,,O,Missing value
LUX,Luxembourg,Expenditure for educational institutions,Percentage of GDP,2008,,O,Missing value
LUX,Luxembourg,Expenditure for educational institutions,Percentage of GDP,2009,,O,Missing value
LUX,Luxembourg,Expenditure for educational institutions,Percentage of GDP,2010,,O,Missing value
LUX,Luxembourg,Expenditure for educational institutions,Percentage of GDP,2011,,O,Missing value
NZL,New Zealand,Expenditure for educational institutions,Percentage of GDP,1995,,O,Missing value
PER,Peru,Expenditure for educational institutions,Percentage of GDP,1995,,O,Missing value
PER,Peru,Expenditure for educational institutions,Percentage of GDP,2000,,O,Missing value
PER,Peru,Expenditure for educational institutions,Percentage of GDP,2005,,O,Missing value
PER,Peru,Expenditure for educational institutions,Percentage of GDP,2008,,O,Missing value
PER,Peru,Expenditure for educational institutions,Percentage of GDP,2009,,O,Missing value
PER,Peru,Expenditure for educational institutions,Percentage of GDP,2010,,O,Missing value
PER,Peru,Expenditure for educational institutions,Percentage of GDP,2011,,O,Missing value
PER,Peru,Expenditure for educational institutions,Percentage of GDP,2012,,O,Missing value
PER,Peru,Expenditure for educational institutions,Percentage of GDP,2013,,O,Missing value
PER,Peru,Expenditure for educational institutions,Percentage of GDP,2014,,O,Missing value
PER,Peru,Expenditure for educational institutions,Percentage of GDP,2015,,O,Missing value
PER,Peru,Expenditure for educational institutions,Percentage of GDP,2016,,O,Missing value
PER,Peru,Expenditure for educational institutions,Percentage of GDP,2017,,O,Missing value
PER,Peru,Expenditure for educational institutions,Percentage of GDP,2018,,O,Missing value
PER,Peru,Expenditure for educational institutions,Percentage of GDP,2019,,O,Missing value
PER,Peru,Expenditure for educational institutions,Percentage of GDP,2020,,O,Missing value
PER,Peru,Expenditure for educational institutions,Percentage of GDP,2021,,O,Missing value
SVN,Slovenia,Expenditure for educational institutions,Percentage of GDP,1995,,O,Missing value
SVN,Slovenia,Expenditure for educational institutions,Percentage of GDP,2000,,O,Missing value
ROU,Romania,Expenditure for educational institutions,Percentage of GDP,1995,,O,Missing value
ROU,Romania,Expenditure for educational institutions,Percentage of GDP,2000,,O,Missing value
ROU,Romania,Expenditure for educational institutions,Percentage of GDP,2005,,O,Missing value
ROU,Romania,Expenditure for educational institutions,Percentage of GDP,2008,,O,Missing value
ROU,Romania,Expenditure for educational institutions,Percentage of GDP,2009,,O,Missing value
ROU,Romania,Expenditure for educational institutions,Percentage of GDP,2010,,O,Missing value
ROU,Romania,Expenditure for educational institutions,Percentage of GDP,2011,,O,Missing value
FRA,France,Expenditure for educational institutions,Percentage of GDP,1995,,O,Missing value
FRA,France,Expenditure for educational institutions,Percentage of GDP,2000,,O,Missing value
BGR,Bulgaria,Expenditure for educational institutions,Percentage of GDP,1995,,O,Missing value
BGR,Bulgaria,Expenditure for educational institutions,Percentage of GDP,2000,,O,Missing value
BGR,Bulgaria,Expenditure for educational institutions,Percentage of GDP,2005,,O,Missing value
BGR,Bulgaria,Expenditure for educational institutions,Percentage of GDP,2008,,O,Missing value
BGR,Bulgaria,Expenditure for educational institutions,Percentage of GDP,2009,,O,Missing value
BGR,Bulgaria,Expenditure for educational institutions,Percentage of GDP,2010,,O,Missing value
BGR,Bulgaria,Expenditure for educational institutions,Percentage of GDP,2011,,O,Missing value
ZAF,South Africa,Expenditure for educational institutions,Percentage of GDP,1995,,O,Missing value
ZAF,South Africa,Expenditure for educational institutions,Percentage of GDP,2000,,O,Missing value
ZAF,South Africa,Expenditure for educational institutions,Percentage of GDP,2005,,O,Missing value
ZAF,South Africa,Expenditure for educational institutions,Percentage of GDP,2008,,O,Missing value
ZAF,South Africa,Expenditure for educational institutions,Percentage of GDP,2009,,O,Missing value
ZAF,South Africa,Expenditure for educational institutions,Percentage of GDP,2010,,O,Missing value
ZAF,South Africa,Expenditure for educational institutions,Percentage of GDP,2011,,O,Missing value
ZAF,South Africa,Expenditure for educational institutions,Percentage of GDP,2012,,O,Missing value
ZAF,South Africa,Expenditure for educational institutions,Percentage of GDP,2013,,O,Missing value
ZAF,South Africa,Expenditure for educational institutions,Percentage of GDP,2014,,O,Missing value
ZAF,South Africa,Expenditure for educational institutions,Percentage of GDP,2015,,O,Missing value
ZAF,South Africa,Expenditure for educational institutions,Percentage of GDP,2016,,O,Missing value
ZAF,South Africa,Expenditure for educational institutions,Percentage of GDP,2017,,O,Missing value
ZAF,South Africa,Expenditure for educational institutions,Percentage of GDP,2018,,O,Missing value
ZAF,South Africa,Expenditure for educational institutions,Percentage of GDP,2019,,O,Missing value
ZAF,South Africa,Expenditure for educational institutions,Percentage of GDP,2020,,O,Missing value
ZAF,South Africa,Expenditure for educational institutions,Percentage of GDP,2021,,O,Missing value
HRV,Croatia,Expenditure for educational institutions,Percentage of GDP,2015,,O,Missing value
BRA,Brazil,Expenditure for educational institutions,Percentage of GDP,1995,,O,Missing value
BRA,Brazil,Expenditure for educational institutions,Percentage of GDP,2000,,O,Missing value
BRA,Brazil,Expenditure for educational institutions,Percentage of GDP,2005,,O,Missing value
BRA,Brazil,Expenditure for educational institutions,Percentage of GDP,2008,,O,Missing value
BRA,Brazil,Expenditure for educational institutions,Percentage of GDP,2009,,O,Missing value
BRA,Brazil,Expenditure for educational institutions,Percentage of GDP,2010,,O,Missing value
BRA,Brazil,Expenditure for educational institutions,Percentage of GDP,2011,,O,Missing value
BRA,Brazil,Expenditure for educational institutions,Percentage of GDP,2012,,O,Missing value
BRA,Brazil,Expenditure for educational institutions,Percentage of GDP,2013,,O,Missing value
BRA,Brazil,Expenditure for educational institutions,Percentage of GDP,2014,,O,Missing value
BRA,Brazil,Expenditure for educational institutions,Percentage of GDP,2015,,O,Missing value
BRA,Brazil,Expenditure for educational institutions,Percentage of GDP,2016,,O,Missing value
BRA,Brazil,Expenditure for educational institutions,Percentage of GDP,2017,,O,Missing value
BRA,Brazil,Expenditure for educational institutions,Percentage of GDP,2018,,O,Missing value
BRA,Brazil,Expenditure for educational institutions,Percentage of GDP,2019,,O,Missing value
BRA,Brazil,Expenditure for educational institutions,Percentage of GDP,2020,,O,Missing value
CHN,China (People’s Republic of),Expenditure for educational institutions,Percentage of GDP,1995,,O,Missing value
CHN,China (People’s Republic of),Expenditure for educational institutions,Percentage of GDP,2000,,O,Missing value
CHN,China (People’s Republic of),Expenditure for educational institutions,Percentage of GDP,2005,,O,Missing value
CHN,China (People’s Republic of),Expenditure for educational institutions,Percentage of GDP,2008,,O,Missing value
CHN,China (People’s Republic of),Expenditure for educational institutions,Percentage of GDP,2009,,O,Missing value
CHN,China (People’s Republic of),Expenditure for educational institutions,Percentage of GDP,2010,,O,Missing value
CHN,China (People’s Republic of),Expenditure for educational institutions,Percentage of GDP,2011,,O,Missing value
CHN,China (People’s Republic of),Expenditure for educational institutions,Percentage of GDP,2012,,O,Missing value
CHN,China (People’s Republic of),Expenditure for educational institutions,Percentage of GDP,2013,,O,Missing value
CHN,China (People’s Republic of),Expenditure for educational institutions,Percentage of GDP,2014,,O,Missing value
CHN,China (People’s Republic of),Expenditure for educational institutions,Percentage of GDP,2015,,O,Missing value
CHN,China (People’s Republic of),Expenditure for educational institutions,Percentage of GDP,2016,,O,Missing value
CHN,China (People’s Republic of),Expenditure for educational institutions,Percentage of GDP,2017,,O,Missing value
CHN,China (People’s Republic of),Expenditure for educational institutions,Percentage of GDP,2018,,O,Missing value
CHN,China (People’s Republic of),Expenditure for educational institutions,Percentage of GDP,2019,,O,Missing value
CHN,China (People’s Republic of),Expenditure for educational institutions,Percentage of GDP,2020,,O,Missing value
ISL,Iceland,Expenditure for educational institutions,Percentage of GDP,1995,,O,Missing value
IDN,Indonesia,Expenditure for educational institutions,Percentage of GDP,1995,,O,Missing value
IDN,Indonesia,Expenditure for educational institutions,Percentage of GDP,2000,,O,Missing value
IDN,Indonesia,Expenditure for educational institutions,Percentage of GDP,2005,,O,Missing value
IDN,Indonesia,Expenditure for educational institutions,Percentage of GDP,2008,,O,Missing value
IDN,Indonesia,Expenditure for educational institutions,Percentage of GDP,2009,,O,Missing value
IDN,Indonesia,Expenditure for educational institutions,Percentage of GDP,2010,,O,Missing value
IDN,Indonesia,Expenditure for educational institutions,Percentage of GDP,2011,,O,Missing value
IDN,Indonesia,Expenditure for educational institutions,Percentage of GDP,2012,,O,Missing value
IDN,Indonesia,Expenditure for educational institutions,Percentage of GDP,2013,,O,Missing value
IDN,Indonesia,Expenditure for educational institutions,Percentage of GDP,2014,,O,Missing value
IDN,Indonesia,Expenditure for educational institutions,Percentage of GDP,2015,,O,Missing value
IDN,Indonesia,Expenditure for educational institutions,Percentage of GDP,2016,,O,Missing value
IDN,Indonesia,Expenditure for educational institutions,Percentage of GDP,2017,,O,Missing value
IDN,Indonesia,Expenditure for educational institutions,Percentage of GDP,2018,,O,Missing value
IDN,Indonesia,Expenditure for educational institutions,Percentage of GDP,2019,,O,Missing value
IDN,Indonesia,Expenditure for educational institutions,Percentage of GDP,2020,,O,Missing value
EU25,European Union (25 countries),Expenditure for educational institutions,Percentage of GDP,1995,,O,Missing value
EU25,European Union (25 countries),Expenditure for educational institutions,Percentage of GDP,2000,,O,Missing value
SAU,Saudi Arabia,Expenditure for educational institutions,Percentage of GDP,1995,,O,Missing value
SAU,Saudi Arabia,Expenditure for educational institutions,Percentage of GDP,2000,,O,Missing value
SAU,Saudi Arabia,Expenditure for educational institutions,Percentage of GDP,2005,,O,Missing value
SAU,Saudi Arabia,Expenditure for educational institutions,Percentage of GDP,2008,,O,Missing value
SAU,Saudi Arabia,Expenditure for educational institutions,Percentage of GDP,2009,,O,Missing value
SAU,Saudi Arabia,Expenditure for educational institutions,Percentage of GDP,2010,,O,Missing value
SAU,Saudi Arabia,Expenditure for educational institutions,Percentage of GDP,2011,,O,Missing value
SAU,Saudi Arabia,Expenditure for educational institutions,Percentage of GDP,2012,,O,Missing value
SAU,Saudi Arabia,Expenditure for educational institutions,Percentage of GDP,2013,,O,Missing value
SAU,Saudi Arabia,Expenditure for educational institutions,Percentage of GDP,2014,,O,Missing value
SAU,Saudi Arabia,Expenditure for educational institutions,Percentage of GDP,2015,,O,Missing value
SAU,Saudi Arabia,Expenditure for educational institutions,Percentage of GDP,2016,,O,Missing value
SAU,Saudi Arabia,Expenditure for educational institutions,Percentage of GDP,2017,,O,Missing value
SAU,Saudi Arabia,Expenditure for educational institutions,Percentage of GDP,2018,,O,Missing value
SAU,Saudi Arabia,Expenditure for educational institutions,Percentage of GDP,2019,,O,Missing value
SAU,Saudi Arabia,Expenditure for educational institutions,Percentage of GDP,2020,,O,Missing value
ARG,Argentina,Expenditure for educational institutions,Percentage of GDP,2017,,M,Missing value; data cannot exist
OECD,OECD,Expenditure for educational institutions,Percentage of GDP,2021,,O,Missing value
COL,Colombia,Expenditure for educational institutions,Percentage of GDP,2017,5.681655,W,Includes data from another category
NZL,New Zealand,Expenditure for educational institutions,Percentage of GDP,2016,5.65606,B,Time series break
FRA,France,Expenditure for educational institutions,Percentage of GDP,2010,5.415247,A,Normal value
AUS,Australia,Expenditure for educational institutions,Percentage of GDP,1995,,O,Missing value
HUN,Hungary,Expenditure for educational institutions,Percentage of GDP,2005,,O,Missing value
HUN,Hungary,Expenditure for educational institutions,Percentage of GDP,2008,,O,Missing value
HUN,Hungary,Expenditure for educational institutions,Percentage of GDP,2009,,O,Missing value
HUN,Hungary,Expenditure for educational institutions,Percentage of GDP,2010,,O,Missing value
HUN,Hungary,Expenditure for educational institutions,Percentage of GDP,2011,,O,Missing value
G20,G20,Expenditure for educational institutions,Percentage of GDP,1995,,O,Missing value
G20,G20,Expenditure for educational institutions,Percentage of GDP,2000,,O,Missing value
G20,G20,Expenditure for educational institutions,Percentage of GDP,2005,,O,Missing value
G20,G20,Expenditure for educational institutions,Percentage of GDP,2008,,O,Missing value
G20,G20,Expenditure for educational institutions,Percentage of GDP,2009,,O,Missing value
G20,G20,Expenditure for educational institutions,Percentage of GDP,2010,,O,Missing value
G20,G20,Expenditure for educational institutions,Percentage of GDP,2011,,O,Missing value
G20,G20,Expenditure for educational institutions,Percentage of GDP,2012,,O,Missing value
G20,G20,Expenditure for educational institutions,Percentage of GDP,2013,,O,Missing value
G20,G20,Expenditure for educational institutions,Percentage of GDP,2014,,O,Missing value
G20,G20,Expenditure for educational institutions,Percentage of GDP,2015,,O,Missing value
G20,G20,Expenditure for educational institutions,Percentage of GDP,2016,,O,Missing value
G20,G20,Expenditure for educational institutions,Percentage of GDP,2017,,O,Missing value
G20,G20,Expenditure for educational institutions,Percentage of GDP,2018,,O,Missing value
G20,G20,Expenditure for educational institutions,Percentage of GDP,2019,,O,Missing value
G20,G20,Expenditure for educational institutions,Percentage of GDP,2020,,O,Missing value
G20,G20,Expenditure for educational institutions,Percentage of GDP,2021,,O,Missing value
IND,India,Expenditure for educational institutions,Percentage of GDP,1995,,O,Missing value
IND,India,Expenditure for educational institutions,Percentage of GDP,2008,,O,Missing value
IND,India,Expenditure for educational institutions,Percentage of GDP,2009,,O,Missing value
IND,India,Expenditure for educational institutions,Percentage of GDP,2010,,O,Missing value
IND,India,Expenditure for educational institutions,Percentage of GDP,2011,,O,Missing value
IND,India,Expenditure for educational institutions,Percentage of GDP,2012,,O,Missing value
IND,India,Expenditure for educational institutions,Percentage of GDP,2013,,O,Missing value
IND,India,Expenditure for educational institutions,Percentage of GDP,2014,,O,Missing value
IND,India,Expenditure for educational institutions,Percentage of GDP,2015,,O,Missing value
IND,India,Expenditure for educational institutions,Percentage of GDP,2016,,O,Missing value
IND,India,Expenditure for educational institutions,Percentage of GDP,2017,,O,Missing value
IND,India,Expenditure for educational institutions,Percentage of GDP,2018,,O,Missing value
IND,India,Expenditure for educational institutions,Percentage of GDP,2019,,O,Missing value
IND,India,Expenditure for educational institutions,Percentage of GDP,2020,,O,Missing value
IND,India,Expenditure for educational institutions,Percentage of GDP,2021,,O,Missing value
LTU,Lithuania,Expenditure for educational institutions,Percentage of GDP,1995,,O,Missing value
LTU,Lithuania,Expenditure for educational institutions,Percentage of GDP,2000,,O,Missing value
LTU,Lithuania,Expenditure for educational institutions,Percentage of GDP,2005,,O,Missing value
LTU,Lithuania,Expenditure for educational institutions,Percentage of GDP,2008,,O,Missing value
LTU,Lithuania,Expenditure for educational institutions,Percentage of GDP,2009,,O,Missing value
GBR,United Kingdom,Expenditure for educational institutions,Percentage of GDP,1995,,O,Missing value
GBR,United Kingdom,Expenditure for educational institutions,Percentage of GDP,2000,,O,Missing value
GBR,United Kingdom,Expenditure for educational institutions,Percentage of GDP,2005,,O,Missing value
GBR,United Kingdom,Expenditure for educational institutions,Percentage of GDP,2008,,O,Missing value
GBR,United Kingdom,Expenditure for educational institutions,Percentage of GDP,2009,,O,Missing value
GBR,United Kingdom,Expenditure for educational institutions,Percentage of GDP,2010,,O,Missing value
GBR,United Kingdom,Expenditure for educational institutions,Percentage of GDP,2011,,O,Missing value
NOR,Norway,Expenditure for educational institutions,Percentage of GDP,2005,,O,Missing value
GRC,Greece,Expenditure for educational institutions,Percentage of GDP,2008,,O,Missing value
GRC,Greece,Expenditure for educational institutions,Percentage of GDP,2009,,O,Missing value
GRC,Greece,Expenditure for educational institutions,Percentage of GDP,2010,,O,Missing value
GRC,Greece,Expenditure for educational institutions,Percentage of GDP,2011,,O,Missing value
GRC,Greece,Expenditure for educational institutions,Percentage of GDP,2016,,O,Missing value
KOR,Korea,Expenditure for educational institutions,Percentage of GDP,1995,,O,Missing value
KOR,Korea,Expenditure for educational institutions,Percentage of GDP,2000,,O,Missing value
KOR,Korea,Expenditure for educational institutions,Percentage of GDP,2005,,O,Missing value
KOR,Korea,Expenditure for educational institutions,Percentage of GDP,2008,,O,Missing value
KOR,Korea,Expenditure for educational institutions,Percentage of GDP,2009,,O,Missing value
KOR,Korea,Expenditure for educational institutions,Percentage of GDP,2010,,O,Missing value
KOR,Korea,Expenditure for educational institutions,Percentage of GDP,2011,,O,Missing value
KOR,Korea,Expenditure for educational institutions,Percentage of GDP,2012,,O,Missing value
KOR,Korea,Expenditure for educational institutions,Percentage of GDP,2013,,O,Missing value
KOR,Korea,Expenditure for educational institutions,Percentage of GDP,2014,,O,Missing value
CHE,Switzerland,Expenditure for educational institutions,Percentage of GDP,1995,,O,Missing value
