STRUCTURE_NAME,REF_AREA,Reference area,Measure,Unit of measure,Age,Domain,TIME_PERIOD
Current well-being by age,FIN,Finland,Social support,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Social connections,2020
Current well-being by age,FIN,Finland,Social support,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Social connections,2021
Current well-being by age,FIN,Finland,Social support,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Social connections,2022
Current well-being by age,DEU,Germany,Voter turnout,Percentage of votes in the same subgroup,Middle-aged,Civic engagement,2017
Current well-being by age,CHL,Chile,Voter turnout,Percentage of votes in the same subgroup,Middle-aged,Civic engagement,2017
Current well-being by age,CHL,Chile,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2010
Current well-being by age,CHL,Chile,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2011
Current well-being by age,CHL,Chile,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2012
Current well-being by age,CHL,Chile,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2013
Current well-being by age,CHL,Chile,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2014
Current well-being by age,CHL,Chile,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2015
Current well-being by age,CHL,Chile,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2016
Current well-being by age,CHL,Chile,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2017
Current well-being by age,CHL,Chile,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2018
Current well-being by age,CHL,Chile,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2019
Current well-being by age,CHL,Chile,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2020
Current well-being by age,CHL,Chile,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2021
Current well-being by age,CHL,Chile,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Young,Work and job quality,2011
Current well-being by age,CHL,Chile,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Young,Work and job quality,2012
Current well-being by age,CHL,Chile,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Young,Work and job quality,2013
Current well-being by age,CHL,Chile,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Young,Work and job quality,2014
Current well-being by age,CHL,Chile,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Young,Work and job quality,2015
Current well-being by age,CHL,Chile,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Young,Work and job quality,2016
Current well-being by age,ISR,Israel,Long-term unemployment rate,Percentage of labour force in the same subgroup,Young,Work and job quality,2004
Current well-being by age,ISR,Israel,Long-term unemployment rate,Percentage of labour force in the same subgroup,Young,Work and job quality,2005
Current well-being by age,ISR,Israel,Long-term unemployment rate,Percentage of labour force in the same subgroup,Young,Work and job quality,2006
Current well-being by age,ISR,Israel,Long-term unemployment rate,Percentage of labour force in the same subgroup,Young,Work and job quality,2007
Current well-being by age,ISR,Israel,Long-term unemployment rate,Percentage of labour force in the same subgroup,Young,Work and job quality,2008
Current well-being by age,ISR,Israel,Long-term unemployment rate,Percentage of labour force in the same subgroup,Young,Work and job quality,2009
Current well-being by age,ISR,Israel,Long-term unemployment rate,Percentage of labour force in the same subgroup,Young,Work and job quality,2010
Current well-being by age,ISR,Israel,Long-term unemployment rate,Percentage of labour force in the same subgroup,Young,Work and job quality,2011
Current well-being by age,ISR,Israel,Long-term unemployment rate,Percentage of labour force in the same subgroup,Young,Work and job quality,2012
Current well-being by age,ISR,Israel,Long-term unemployment rate,Percentage of labour force in the same subgroup,Young,Work and job quality,2013
Current well-being by age,ISR,Israel,Long-term unemployment rate,Percentage of labour force in the same subgroup,Young,Work and job quality,2014
Current well-being by age,ISR,Israel,Long-term unemployment rate,Percentage of labour force in the same subgroup,Young,Work and job quality,2015
Current well-being by age,ISR,Israel,Long-term unemployment rate,Percentage of labour force in the same subgroup,Young,Work and job quality,2016
Current well-being by age,ISR,Israel,Long-term unemployment rate,Percentage of labour force in the same subgroup,Young,Work and job quality,2017
Current well-being by age,ISR,Israel,Long-term unemployment rate,Percentage of labour force in the same subgroup,Young,Work and job quality,2018
Current well-being by age,ISR,Israel,Long-term unemployment rate,Percentage of labour force in the same subgroup,Young,Work and job quality,2019
Current well-being by age,ISR,Israel,Long-term unemployment rate,Percentage of labour force in the same subgroup,Young,Work and job quality,2020
Current well-being by age,ISR,Israel,Long-term unemployment rate,Percentage of labour force in the same subgroup,Young,Work and job quality,2021
Current well-being by age,ISR,Israel,Long-term unemployment rate,Percentage of labour force in the same subgroup,Young,Work and job quality,2022
Current well-being by age,SWE,Sweden,Long hours in paid work,Percentage of employees in the same subgroup,Middle-aged,Work and job quality,2004
Current well-being by age,SWE,Sweden,Long hours in paid work,Percentage of employees in the same subgroup,Middle-aged,Work and job quality,2005
Current well-being by age,SWE,Sweden,Long hours in paid work,Percentage of employees in the same subgroup,Middle-aged,Work and job quality,2006
Current well-being by age,SWE,Sweden,Long hours in paid work,Percentage of employees in the same subgroup,Middle-aged,Work and job quality,2007
Current well-being by age,SWE,Sweden,Long hours in paid work,Percentage of employees in the same subgroup,Middle-aged,Work and job quality,2008
Current well-being by age,SWE,Sweden,Long hours in paid work,Percentage of employees in the same subgroup,Middle-aged,Work and job quality,2009
Current well-being by age,SWE,Sweden,Long hours in paid work,Percentage of employees in the same subgroup,Middle-aged,Work and job quality,2010
Current well-being by age,SWE,Sweden,Long hours in paid work,Percentage of employees in the same subgroup,Middle-aged,Work and job quality,2011
Current well-being by age,SWE,Sweden,Long hours in paid work,Percentage of employees in the same subgroup,Middle-aged,Work and job quality,2012
Current well-being by age,SWE,Sweden,Long hours in paid work,Percentage of employees in the same subgroup,Middle-aged,Work and job quality,2013
Current well-being by age,SWE,Sweden,Long hours in paid work,Percentage of employees in the same subgroup,Middle-aged,Work and job quality,2014
Current well-being by age,SWE,Sweden,Long hours in paid work,Percentage of employees in the same subgroup,Middle-aged,Work and job quality,2015
Current well-being by age,SWE,Sweden,Long hours in paid work,Percentage of employees in the same subgroup,Middle-aged,Work and job quality,2016
Current well-being by age,SWE,Sweden,Long hours in paid work,Percentage of employees in the same subgroup,Middle-aged,Work and job quality,2017
Current well-being by age,SWE,Sweden,Long hours in paid work,Percentage of employees in the same subgroup,Middle-aged,Work and job quality,2018
Current well-being by age,SWE,Sweden,Long hours in paid work,Percentage of employees in the same subgroup,Middle-aged,Work and job quality,2019
Current well-being by age,SWE,Sweden,Long hours in paid work,Percentage of employees in the same subgroup,Middle-aged,Work and job quality,2020
Current well-being by age,SWE,Sweden,Long hours in paid work,Percentage of employees in the same subgroup,Middle-aged,Work and job quality,2021
Current well-being by age,SWE,Sweden,Long hours in paid work,Percentage of employees in the same subgroup,Middle-aged,Work and job quality,2022
Current well-being by age,NLD,Netherlands,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Young,Work and job quality,2007
Current well-being by age,NLD,Netherlands,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Young,Work and job quality,2008
Current well-being by age,NLD,Netherlands,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Young,Work and job quality,2009
Current well-being by age,NLD,Netherlands,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Young,Work and job quality,2010
Current well-being by age,NLD,Netherlands,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Young,Work and job quality,2011
Current well-being by age,NLD,Netherlands,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Young,Work and job quality,2012
Current well-being by age,NLD,Netherlands,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Young,Work and job quality,2013
Current well-being by age,NLD,Netherlands,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Young,Work and job quality,2014
Current well-being by age,NLD,Netherlands,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Young,Work and job quality,2015
Current well-being by age,NLD,Netherlands,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Young,Work and job quality,2016
Current well-being by age,ESP,Spain,Having a say in government,Percentage of population aged 16-65 in the same subgroup,Middle-aged,Civic engagement,2012
Current well-being by age,FIN,Finland,Adult numeracy skills,Points,Middle-aged,Knowledge and skills,2012
Current well-being by age,POL,Poland,Satisfaction with personal relationships,0-10 scale,Middle-aged,Social connections,2013
Current well-being by age,POL,Poland,Satisfaction with personal relationships,0-10 scale,Middle-aged,Social connections,2018
Current well-being by age,POL,Poland,Satisfaction with personal relationships,0-10 scale,Middle-aged,Social connections,2022
Current well-being by age,BRA,Brazil,Social support,Percentage of population aged 15 years or over in the same subgroup,Young,Social connections,2010
Current well-being by age,BRA,Brazil,Social support,Percentage of population aged 15 years or over in the same subgroup,Young,Social connections,2011
Current well-being by age,BRA,Brazil,Social support,Percentage of population aged 15 years or over in the same subgroup,Young,Social connections,2012
Current well-being by age,BRA,Brazil,Social support,Percentage of population aged 15 years or over in the same subgroup,Young,Social connections,2013
Current well-being by age,BRA,Brazil,Social support,Percentage of population aged 15 years or over in the same subgroup,Young,Social connections,2014
Current well-being by age,BRA,Brazil,Social support,Percentage of population aged 15 years or over in the same subgroup,Young,Social connections,2015
Current well-being by age,BRA,Brazil,Social support,Percentage of population aged 15 years or over in the same subgroup,Young,Social connections,2016
Current well-being by age,BRA,Brazil,Social support,Percentage of population aged 15 years or over in the same subgroup,Young,Social connections,2017
Current well-being by age,BRA,Brazil,Social support,Percentage of population aged 15 years or over in the same subgroup,Young,Social connections,2018
Current well-being by age,BRA,Brazil,Social support,Percentage of population aged 15 years or over in the same subgroup,Young,Social connections,2019
Current well-being by age,BRA,Brazil,Social support,Percentage of population aged 15 years or over in the same subgroup,Young,Social connections,2020
Current well-being by age,BRA,Brazil,Social support,Percentage of population aged 15 years or over in the same subgroup,Young,Social connections,2021
Current well-being by age,BRA,Brazil,Social support,Percentage of population aged 15 years or over in the same subgroup,Young,Social connections,2022
Current well-being by age,ESP,Spain,Time off,Hours per day,Middle-aged,Work-life balance,2009
Current well-being by age,SVN,Slovenia,Satisfaction with personal relationships,0-10 scale,Middle-aged,Social connections,2013
Current well-being by age,SVN,Slovenia,Satisfaction with personal relationships,0-10 scale,Middle-aged,Social connections,2018
Current well-being by age,SVN,Slovenia,Satisfaction with personal relationships,0-10 scale,Middle-aged,Social connections,2022
Current well-being by age,GRC,Greece,Time spent in social interactions,Hours per week,Young,Social connections,2012
Current well-being by age,IRL,Ireland,Time spent in social interactions,Hours per week,Young,Social connections,2005
Current well-being by age,AUS,Australia,Social support,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Social connections,2010
Current well-being by age,AUS,Australia,Social support,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Social connections,2011
Current well-being by age,AUS,Australia,Social support,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Social connections,2012
Current well-being by age,AUS,Australia,Social support,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Social connections,2013
Current well-being by age,AUS,Australia,Social support,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Social connections,2014
Current well-being by age,AUS,Australia,Social support,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Social connections,2015
Current well-being by age,AUS,Australia,Social support,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Social connections,2016
Current well-being by age,AUS,Australia,Social support,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Social connections,2017
Current well-being by age,AUS,Australia,Social support,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Social connections,2018
Current well-being by age,AUS,Australia,Social support,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Social connections,2019
Current well-being by age,AUS,Australia,Social support,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Social connections,2020
Current well-being by age,AUS,Australia,Social support,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Social connections,2021
Current well-being by age,AUS,Australia,Social support,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Social connections,2022
Current well-being by age,FRA,France,Voter turnout,Percentage of votes in the same subgroup,Middle-aged,Civic engagement,2007
Current well-being by age,FRA,France,Voter turnout,Percentage of votes in the same subgroup,Middle-aged,Civic engagement,2012
Current well-being by age,FRA,France,Voter turnout,Percentage of votes in the same subgroup,Middle-aged,Civic engagement,2017
Current well-being by age,FRA,France,Voter turnout,Percentage of votes in the same subgroup,Middle-aged,Civic engagement,2022
Current well-being by age,DEU,Germany,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2010
Current well-being by age,DEU,Germany,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2011
Current well-being by age,DEU,Germany,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2012
Current well-being by age,DEU,Germany,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2013
Current well-being by age,DEU,Germany,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2014
Current well-being by age,DEU,Germany,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2015
Current well-being by age,DEU,Germany,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2016
Current well-being by age,DEU,Germany,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2017
Current well-being by age,DEU,Germany,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2018
Current well-being by age,DEU,Germany,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2019
Current well-being by age,DEU,Germany,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2020
Current well-being by age,DEU,Germany,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2021
Current well-being by age,EST,Estonia,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2011
Current well-being by age,EST,Estonia,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2012
Current well-being by age,EST,Estonia,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2013
Current well-being by age,EST,Estonia,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2014
Current well-being by age,EST,Estonia,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2015
Current well-being by age,EST,Estonia,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2016
Current well-being by age,EST,Estonia,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2017
Current well-being by age,EST,Estonia,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2018
Current well-being by age,EST,Estonia,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2019
Current well-being by age,EST,Estonia,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2020
Current well-being by age,EST,Estonia,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2021
Current well-being by age,EST,Estonia,Life satisfaction,0-10 scale,Young,Subjective well-being,2013
Current well-being by age,EST,Estonia,Life satisfaction,0-10 scale,Young,Subjective well-being,2018
Current well-being by age,EST,Estonia,Life satisfaction,0-10 scale,Young,Subjective well-being,2021
Current well-being by age,EST,Estonia,Life satisfaction,0-10 scale,Young,Subjective well-being,2022
Current well-being by age,EST,Estonia,Life satisfaction,0-10 scale,Young,Subjective well-being,2023
Current well-being by age,ISL,Iceland,Job strain,Percentage of employees in the same subgroup,Young,Work and job quality,2015
Current well-being by age,CRI,Costa Rica,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Young,Subjective well-being,2010
Current well-being by age,CRI,Costa Rica,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Young,Subjective well-being,2011
Current well-being by age,CRI,Costa Rica,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Young,Subjective well-being,2012
Current well-being by age,CRI,Costa Rica,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Young,Subjective well-being,2013
Current well-being by age,CRI,Costa Rica,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Young,Subjective well-being,2014
Current well-being by age,CRI,Costa Rica,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Young,Subjective well-being,2015
Current well-being by age,CRI,Costa Rica,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Young,Subjective well-being,2016
Current well-being by age,CRI,Costa Rica,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Young,Subjective well-being,2017
Current well-being by age,CRI,Costa Rica,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Young,Subjective well-being,2018
Current well-being by age,CRI,Costa Rica,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Young,Subjective well-being,2019
Current well-being by age,CRI,Costa Rica,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Young,Subjective well-being,2020
Current well-being by age,CRI,Costa Rica,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Young,Subjective well-being,2021
Current well-being by age,SVK,Slovak Republic,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Young,Health,2005
Current well-being by age,SVK,Slovak Republic,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Young,Health,2006
Current well-being by age,SVK,Slovak Republic,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Young,Health,2007
Current well-being by age,SVK,Slovak Republic,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Young,Health,2008
Current well-being by age,SVK,Slovak Republic,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Young,Health,2009
Current well-being by age,SVK,Slovak Republic,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Young,Health,2010
Current well-being by age,SVK,Slovak Republic,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Young,Health,2011
Current well-being by age,SVK,Slovak Republic,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Young,Health,2012
Current well-being by age,SVK,Slovak Republic,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Young,Health,2013
Current well-being by age,SVK,Slovak Republic,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Young,Health,2014
Current well-being by age,SVK,Slovak Republic,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Young,Health,2015
Current well-being by age,SVK,Slovak Republic,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Young,Health,2016
Current well-being by age,SVK,Slovak Republic,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Young,Health,2017
Current well-being by age,SVK,Slovak Republic,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Young,Health,2018
Current well-being by age,SVK,Slovak Republic,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Young,Health,2019
Current well-being by age,SVK,Slovak Republic,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Young,Health,2020
Current well-being by age,SVK,Slovak Republic,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Young,Health,2021
Current well-being by age,SVK,Slovak Republic,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Young,Health,2022
Current well-being by age,LTU,Lithuania,Satisfaction with time use,0-10 scale,Middle-aged,Work-life balance,2013
Current well-being by age,LTU,Lithuania,Satisfaction with time use,0-10 scale,Middle-aged,Work-life balance,2018
Current well-being by age,LTU,Lithuania,Satisfaction with time use,0-10 scale,Middle-aged,Work-life balance,2022
Current well-being by age,GBR,United Kingdom,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,Work and job quality,2004
Current well-being by age,GBR,United Kingdom,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,Work and job quality,2005
Current well-being by age,GBR,United Kingdom,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,Work and job quality,2006
Current well-being by age,GBR,United Kingdom,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,Work and job quality,2007
Current well-being by age,GBR,United Kingdom,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,Work and job quality,2008
Current well-being by age,GBR,United Kingdom,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,Work and job quality,2009
Current well-being by age,GBR,United Kingdom,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,Work and job quality,2010
Current well-being by age,GBR,United Kingdom,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,Work and job quality,2011
Current well-being by age,GBR,United Kingdom,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,Work and job quality,2012
Current well-being by age,GBR,United Kingdom,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,Work and job quality,2013
Current well-being by age,GBR,United Kingdom,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,Work and job quality,2014
Current well-being by age,GBR,United Kingdom,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,Work and job quality,2015
Current well-being by age,GBR,United Kingdom,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,Work and job quality,2016
Current well-being by age,GBR,United Kingdom,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,Work and job quality,2017
Current well-being by age,GBR,United Kingdom,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,Work and job quality,2018
Current well-being by age,GBR,United Kingdom,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,Work and job quality,2019
Current well-being by age,GBR,United Kingdom,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,Work and job quality,2020
Current well-being by age,GBR,United Kingdom,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,Work and job quality,2021
Current well-being by age,GBR,United Kingdom,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,Work and job quality,2022
Current well-being by age,GBR,United Kingdom,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,Work and job quality,2023
Current well-being by age,PRT,Portugal,Long hours in paid work,Percentage of employees in the same subgroup,Middle-aged,Work and job quality,2004
Current well-being by age,PRT,Portugal,Long hours in paid work,Percentage of employees in the same subgroup,Middle-aged,Work and job quality,2005
Current well-being by age,PRT,Portugal,Long hours in paid work,Percentage of employees in the same subgroup,Middle-aged,Work and job quality,2006
Current well-being by age,PRT,Portugal,Long hours in paid work,Percentage of employees in the same subgroup,Middle-aged,Work and job quality,2007
Current well-being by age,PRT,Portugal,Long hours in paid work,Percentage of employees in the same subgroup,Middle-aged,Work and job quality,2008
Current well-being by age,PRT,Portugal,Long hours in paid work,Percentage of employees in the same subgroup,Middle-aged,Work and job quality,2009
Current well-being by age,PRT,Portugal,Long hours in paid work,Percentage of employees in the same subgroup,Middle-aged,Work and job quality,2010
Current well-being by age,PRT,Portugal,Long hours in paid work,Percentage of employees in the same subgroup,Middle-aged,Work and job quality,2011
Current well-being by age,PRT,Portugal,Long hours in paid work,Percentage of employees in the same subgroup,Middle-aged,Work and job quality,2012
Current well-being by age,PRT,Portugal,Long hours in paid work,Percentage of employees in the same subgroup,Middle-aged,Work and job quality,2013
Current well-being by age,PRT,Portugal,Long hours in paid work,Percentage of employees in the same subgroup,Middle-aged,Work and job quality,2014
Current well-being by age,PRT,Portugal,Long hours in paid work,Percentage of employees in the same subgroup,Middle-aged,Work and job quality,2015
Current well-being by age,PRT,Portugal,Long hours in paid work,Percentage of employees in the same subgroup,Middle-aged,Work and job quality,2016
Current well-being by age,PRT,Portugal,Long hours in paid work,Percentage of employees in the same subgroup,Middle-aged,Work and job quality,2017
Current well-being by age,PRT,Portugal,Long hours in paid work,Percentage of employees in the same subgroup,Middle-aged,Work and job quality,2018
Current well-being by age,PRT,Portugal,Long hours in paid work,Percentage of employees in the same subgroup,Middle-aged,Work and job quality,2019
Current well-being by age,PRT,Portugal,Long hours in paid work,Percentage of employees in the same subgroup,Middle-aged,Work and job quality,2020
Current well-being by age,PRT,Portugal,Long hours in paid work,Percentage of employees in the same subgroup,Middle-aged,Work and job quality,2021
Current well-being by age,PRT,Portugal,Long hours in paid work,Percentage of employees in the same subgroup,Middle-aged,Work and job quality,2022
Current well-being by age,SVK,Slovak Republic,Satisfaction with time use,0-10 scale,Young,Work-life balance,2013
Current well-being by age,SVK,Slovak Republic,Satisfaction with time use,0-10 scale,Young,Work-life balance,2018
Current well-being by age,SVK,Slovak Republic,Satisfaction with time use,0-10 scale,Young,Work-life balance,2022
Current well-being by age,CHL,Chile,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2004
Current well-being by age,CHL,Chile,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2005
Current well-being by age,CHL,Chile,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2006
Current well-being by age,CHL,Chile,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2007
Current well-being by age,CHL,Chile,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2008
Current well-being by age,CHL,Chile,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2009
Current well-being by age,CHL,Chile,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2010
Current well-being by age,CHL,Chile,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2011
Current well-being by age,CHL,Chile,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2012
Current well-being by age,CHL,Chile,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2013
Current well-being by age,CHL,Chile,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2014
Current well-being by age,CHL,Chile,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2015
Current well-being by age,CHL,Chile,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2016
Current well-being by age,CHL,Chile,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2017
Current well-being by age,CHL,Chile,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2018
Current well-being by age,CHL,Chile,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2019
Current well-being by age,CHL,Chile,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2020
Current well-being by age,CHL,Chile,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2021
Current well-being by age,CHL,Chile,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2022
Current well-being by age,CHL,Chile,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2023
Current well-being by age,LUX,Luxembourg,Satisfaction with personal relationships,0-10 scale,Young,Social connections,2013
Current well-being by age,LUX,Luxembourg,Satisfaction with personal relationships,0-10 scale,Young,Social connections,2018
Current well-being by age,LUX,Luxembourg,Satisfaction with personal relationships,0-10 scale,Young,Social connections,2022
